Date,BTC_usd,BTC_Volume
2016-02-26,424.628998,61486000
2016-02-27,432.838989,41893600
2016-02-28,432.571014,53033400
2016-02-29,433.437988,60694700
2016-03-01,437.916992,74895800
2016-03-02,435.131012,74955296
2016-03-03,423.911987,100484000
2016-03-04,421.835999,90856096
2016-03-05,410.781006,135384992
2016-03-06,400.524994,91212496
2016-03-07,407.756989,85762400
2016-03-08,414.464996,70311696
2016-03-09,413.894012,70012304
2016-03-10,414.743988,81022896
2016-03-11,417.238007,73969696
2016-03-12,421.605011,92712896
2016-03-13,411.64801,74322800
2016-03-14,414.200989,95259400
2016-03-15,416.388,66781700
2016-03-16,416.888,65185800
2016-03-17,417.889008,83528600
2016-03-18,420.546997,104940000
2016-03-19,409.265015,58423000
2016-03-20,410.401001,45947900
2016-03-21,413.417999,61655400
2016-03-22,413.131989,66813300
2016-03-23,418.161011,61444200
2016-03-24,418.424011,68346704
2016-03-25,416.507996,52560000
2016-03-26,417.36499,44650400
2016-03-27,418.140015,71229400
2016-03-28,426.548004,68522800
2016-03-29,424.303986,75411504
2016-03-30,416.834015,66034100
2016-03-31,415.256989,60215200
2016-04-01,416.76001,51235700
2016-04-02,418.421997,45681200
2016-04-03,421.173004,38053700
2016-04-04,421.299011,50634300
2016-04-05,421.016998,60718000
2016-04-06,424.283997,59091000
2016-04-07,423.619995,57858600
2016-04-08,422.907013,63454700
2016-04-09,420.811005,49792700
2016-04-10,419.59201,73478600
2016-04-11,421.872009,50747500
2016-04-12,422.842987,70728800
2016-04-13,425.631989,69060400
2016-04-14,423.934998,45281000
2016-04-15,424.427002,54801500
2016-04-16,429.575012,39392800
2016-04-17,430.635986,52125900
2016-04-18,427.610992,55670900
2016-04-19,428.703003,52810500
2016-04-20,435.324005,72890096
2016-04-21,441.415985,68204704
2016-04-22,449.687988,58804400
2016-04-23,445.860992,50485400
2016-04-24,450.559998,68198400
2016-04-25,459.121002,87091800
2016-04-26,461.64801,78971904
2016-04-27,466.261993,93564896
2016-04-28,445.037994,74064704
2016-04-29,449.40799,49258500
2016-04-30,455.178009,69322600
2016-05-01,448.484009,40660100
2016-05-02,451.933014,92127000
2016-05-03,444.72699,59366400
2016-05-04,450.183014,50407300
