Date,nasdaq_composite_index
2016-05-26,4897.779785
2016-05-27,4904.049805
2016-05-31,4938.47998
2016-06-01,4928.970215
2016-06-02,4941.25
2016-06-03,4958.100098
2016-06-06,4950.459961
2016-06-07,4972.129883
2016-06-08,4970.009766
2016-06-09,4954.149902
2016-06-10,4915.149902
2016-06-13,4868.509766
2016-06-14,4836.669922
2016-06-15,4855.080078
2016-06-16,4809.689941
2016-06-17,4835.02002
2016-06-20,4856.689941
2016-06-21,4845.080078
2016-06-22,4846.680176
2016-06-23,4872.189941
2016-06-24,4715.790039
2016-06-27,4664.430176
2016-06-28,4643.930176
2016-06-29,4732.930176
2016-06-30,4793.75
2016-07-01,4837.180176
2016-07-05,4837.060059
2016-07-06,4799.319824
2016-07-07,4867.470215
2016-07-08,4906.660156
2016-07-11,4976.540039
2016-07-12,5017.990234
2016-07-13,5036.319824
2016-07-14,5041.950195
2016-07-15,5041.189941
2016-07-18,5034.990234
2016-07-19,5038.220215
2016-07-20,5061.600098
2016-07-21,5093.970215
2016-07-22,5078.120117
2016-07-25,5096.990234
2016-07-26,5095.609863
2016-07-27,5143.839844
2016-07-28,5144.819824
2016-07-29,5162.149902
2016-08-01,5167.419922
2016-08-02,5177.529785
2016-08-03,5133.240234
2016-08-04,5158.02002
2016-08-05,5190.709961
2016-08-08,5223.540039
2016-08-09,5216.209961
2016-08-10,5227.950195
2016-08-11,5222.149902
2016-08-12,5219.660156
2016-08-15,5242.180176
2016-08-16,5247.959961
2016-08-17,5228.439941
2016-08-18,5226.450195
2016-08-19,5229.870117
2016-08-22,5231.459961
2016-08-23,5265.779785
2016-08-24,5254.419922
2016-08-25,5207.609863
2016-08-26,5219.049805
2016-08-29,5223.799805
2016-08-30,5229.879883
2016-08-31,5216.419922
2016-09-01,5218.279785
2016-09-02,5249.660156
2016-09-06,5260
2016-09-07,5274.22998
2016-09-08,5269.959961
2016-09-09,5217.950195
2016-09-12,5098.029785
2016-09-13,5181.140137
2016-09-14,5160.209961
2016-09-15,5178.100098
2016-09-16,5238.709961
2016-09-19,5263.549805
2016-09-20,5256.189941
2016-09-21,5263.649902
2016-09-22,5323.259766
2016-09-23,5327.430176
2016-09-26,5275.72998
2016-09-27,5254.180176
2016-09-28,5312.72998
2016-09-29,5311.310059
2016-09-30,5288.870117
2016-10-03,5300.290039
2016-10-04,5313.490234
2016-10-05,5305.279785
2016-10-06,5306.589844
2016-10-07,5314.919922
2016-10-10,5318.459961
2016-10-11,5321.819824
2016-10-12,5247.910156
2016-10-13,5200.299805
