Date,NYSE_usd
2016-04-01,10132.58008
2016-04-04,10227.12012
2016-04-05,10104.76953
2016-04-06,10062.83984
2016-04-07,10112.98047
2016-04-08,10108.70996
2016-04-11,10154.08008
2016-04-12,10114.58008
2016-04-13,10271.66016
2016-04-14,10359.19043
2016-04-15,10359.58008
2016-04-18,10315.65039
2016-04-19,10463.63965
2016-04-20,10517.05957
2016-04-21,10524.48047
2016-04-22,10464.2002
2016-04-25,10487.83008
2016-04-26,10492.57031
2016-04-27,10528.48047
2016-04-28,10521.16992
2016-04-29,10480.21973
2016-05-02,10450.12988
2016-05-03,10432.24023
2016-05-04,10302.67969
2016-05-05,10303.04004
2016-05-06,10280.99023
2016-05-09,10300.66016
2016-05-10,10323.26953
2016-05-11,10391.92969
2016-05-12,10375.87988
2016-05-13,10305.84961
2016-05-16,10243.2002
2016-05-17,10312.69043
2016-05-18,10229.96973
2016-05-19,10189.76953
2016-05-20,10224.75
2016-05-23,10237.99023
2016-05-24,10275.79004
2016-05-25,10399.12012
2016-05-26,10462.28027
2016-05-27,10437.96973
2016-05-31,10479.87988
2016-06-01,10385.92969
2016-06-02,10424.67969
2016-06-03,10477.78027
2016-06-06,10508.5
2016-06-07,10554.58984
2016-06-08,10620.19043
2016-06-09,10581.21973
2016-06-10,10501.57031
2016-06-13,10400.15039
2016-06-14,10310.07031
2016-06-15,10294.67969
2016-06-16,10237.92969
2016-06-17,10343.61035
2016-06-20,10456.91992
2016-06-21,10481.16016
2016-06-22,10507.94043
2016-06-23,10573.46973
2016-06-24,10335.91992
2016-06-27,10084.48047
2016-06-28,10073.15039
2016-06-29,10254.86035
2016-06-30,10374.57031
2016-07-01,10495.08008
2016-07-05,10452.48047
2016-07-06,10356.21973
2016-07-07,10461.13965
2016-07-08,10414.80957
2016-07-11,10606.03027
2016-07-12,10685.57031
2016-07-13,10743.2002
2016-07-14,10806.20996
2016-07-15,10808.88965
2016-07-18,10773.11035
2016-07-19,10754.54004
2016-07-20,10758.59961
2016-07-21,10784.67969
2016-07-22,10764.26953
2016-07-25,10787.57031
2016-07-26,10754.94043
2016-07-27,10782.32031
2016-07-28,10727.87012
2016-07-29,10734.07031
2016-08-01,10768.75
2016-08-02,10729.11035
2016-08-03,10660.91016
2016-08-04,10697.23047
2016-08-05,10731.82031
2016-08-08,10789.84961
2016-08-09,10797.37012
2016-08-10,10812.32031
2016-08-11,10775.05957
2016-08-12,10827.87012
2016-08-15,10838.33984
2016-08-16,10843.41016
2016-08-17,10803.67969
2016-08-18,10823.79004
2016-08-19,10822.50977
2016-08-22,10798.09961
2016-08-23,10857.94043
2016-08-24,10845.16992
2016-08-25,10780.73047
2016-08-26,10808.40039
2016-08-29,10753.4502
2016-08-30,10817.33984
2016-08-31,10780.20996
2016-09-01,10762.4502
2016-09-02,10830.54981
2016-09-06,10879.63965
2016-09-07,10886.50977
2016-09-08,10879.96973
2016-09-09,10799.12988
2016-09-12,10563.73047
2016-09-13,10644.46973
2016-09-14,10533.7002
2016-09-15,10501.32031
2016-09-16,10554.09961
2016-09-19,10533.41992
2016-09-20,10608.55957
2016-09-21,10605.09961
2016-09-22,10769.37988
2016-09-23,10793.66016
2016-09-26,10675.25
2016-09-27,10600.15039
2016-09-28,10665.58008
2016-09-29,10742.08008
2016-09-30,10679.07031
2016-10-03,10721.84961
2016-10-04,10705.86035
2016-10-05,10666.41016
2016-10-06,10664.54004
2016-10-07,10680.46973
2016-10-10,10671.21973
2016-10-11,10656.21973
2016-10-12,10546.00977
2016-10-13,10487.61035
2016-10-14,10579.76953
2016-10-17,10516.29981
2016-10-18,10578.88965
2016-10-19,10580.4502
2016-10-20,10587.83008
2016-10-21,10545.12012
2016-10-24,10610.58008
2016-10-25,10575.19043
2016-10-26,10505.99023
2016-10-27,10561.54004
2016-10-28,10495.30957
2016-10-31,10476.91992
2016-11-01,10508.00977
2016-11-02,10389.9502
2016-11-03,10350.61035
2016-11-04,10308.30957
2016-11-07,10416.33984
2016-11-08,10462.83984
2016-11-09,10477.79004
2016-11-10,10678.96973
2016-11-11,10644.55957
2016-11-14,10660.4502
2016-11-15,10680.41992
2016-11-16,10705.46973
2016-11-17,10717.87988
2016-11-18,10725.33984
2016-11-21,10753.25
2016-11-22,10793.33984
2016-11-23,10772.61035
2016-11-25,10854.69043
2016-11-28,10857.46973
2016-11-29,10798.91992
2016-11-30,10872.37988
2016-12-01,10860.41992
2016-12-02,10828.99023
2016-12-05,10890.15039
2016-12-06,10923.58008
2016-12-07,10977.41016
2016-12-08,11114.32031
2016-12-09,11153.09961
2016-12-12,11200.19043
2016-12-13,11216.83008
2016-12-14,11214.03027
2016-12-15,11087.12988
2016-12-16,11152.20996
2016-12-19,11127
2016-12-20,11145.29004
2016-12-21,11170.41016
2016-12-22,11127.78027
2016-12-23,11111.5
2016-12-27,11601.29004
2016-12-28,11148.32031
2016-12-29,11071.11035
2016-12-30,11094.80957
2017-01-03,11138.84961
2017-01-04,11186.78027
2017-01-05,11243.12012
2017-01-06,11235.44043
2017-01-09,11209.70996
2017-01-10,11181.74023
2017-01-11,11181.92969
2017-01-12,11213.90039
2017-01-13,11218.04981
2017-01-17,11209.71973
2017-01-18,11187.33008
2017-01-19,11195.83008
2017-01-20,11175.51953
2017-01-23,11178.42969
2017-01-24,11183.55957
2017-01-25,11297.42969
2017-01-26,11335.71973
2017-01-27,11311.33008
2017-01-30,11228.36035
2017-01-31,11195.51953
2017-02-01,11244.82031
2017-02-02,11196.12988
2017-02-03,11268.01953
2017-02-06,11278.41016
2017-02-07,11271.75
2017-02-08,11222.08008
2017-02-09,11274.37988
2017-02-10,11347.92969
2017-02-13,11378.11035
2017-02-14,11419.11035
2017-02-15,11469.09961
2017-02-16,11519.32031
2017-02-17,11468.00977
2017-02-21,11517.94043
