Date,Litecoin_usd
2016-02-12,3.09224
2016-02-13,3.11812
2016-02-14,3.14773
2016-02-15,3.23204
2016-02-16,3.20227
2016-02-17,3.22731
2016-02-18,3.2452
2016-02-19,3.26045
2016-02-20,3.26811
2016-02-21,3.45997
2016-02-22,3.46592
2016-02-23,3.48881
2016-02-24,3.40327
2016-02-25,3.38611
2016-02-26,3.36949
2016-02-27,3.42881
2016-02-28,3.41416
2016-02-29,3.4412
2016-03-01,3.44835
2016-03-02,3.43436
2016-03-03,3.36374
2016-03-04,3.3215
2016-03-05,3.25172
2016-03-06,3.19149
2016-03-07,3.22162
2016-03-08,3.27141
2016-03-09,3.25055
2016-03-10,3.27791
2016-03-11,3.28632
2016-03-12,3.39113
2016-03-13,3.28942
2016-03-14,3.30909
2016-03-15,3.30329
2016-03-16,3.30711
2016-03-17,3.31136
2016-03-18,3.30715
2016-03-19,3.17078
2016-03-20,3.18153
2016-03-21,3.20519
2016-03-22,3.20004
2016-03-23,3.23384
2016-03-24,3.24502
2016-03-25,3.22784
2016-03-26,3.22772
2016-03-27,3.23182
2016-03-28,3.30291
2016-03-29,3.26176
2016-03-30,3.22665
2016-03-31,3.22548
2016-04-01,3.24575
2016-04-02,3.2459
2016-04-03,3.26145
2016-04-04,3.2613
2016-04-05,3.24604
2016-04-06,3.25852
2016-04-07,3.25701
2016-04-08,3.24191
2016-04-09,3.22402
2016-04-10,3.22186
2016-04-11,3.22745
2016-04-12,3.24014
2016-04-13,3.26295
2016-04-14,3.24574
2016-04-15,3.24321
2016-04-16,3.27985
2016-04-17,3.28005
2016-04-18,3.26037
2016-04-19,3.2489
2016-04-20,3.29175
2016-04-21,3.28093
2016-04-22,3.34679
2016-04-23,3.32078
2016-04-24,3.34636
2016-04-25,3.62286
2016-04-26,3.79559
2016-04-27,4.04861
2016-04-28,3.87886
2016-04-29,3.79207
2016-04-30,3.81348
2016-05-01,3.6575
2016-05-02,3.70871
2016-05-03,3.68211
2016-05-04,3.74184
2016-05-05,3.74181
2016-05-06,3.71613
2016-05-07,3.81952
2016-05-08,3.93641
2016-05-09,3.93763
2016-05-10,4.05797
2016-05-11,3.82033
2016-05-12,3.88134
2016-05-13,3.85527
2016-05-14,3.92728
2016-05-15,4.01409
2016-05-16,4.06308
2016-05-17,4.00364
2016-05-18,3.9798
2016-05-19,4.00244
2016-05-20,3.82493
2016-05-21,3.88352
2016-05-22,3.95659
2016-05-23,3.92293
2016-05-24,3.96388
2016-05-25,3.95081
2016-05-26,4.04526
2016-05-27,4.08942
2016-05-28,4.51095
2016-05-29,4.68873
2016-05-30,4.63264
2016-05-31,4.6876
2016-06-01,4.65329
2016-06-02,4.74465
2016-06-03,4.71958
2016-06-04,4.86319
2016-06-05,4.79843
2016-06-06,4.81446
2016-06-07,4.95482
2016-06-08,4.77429
2016-06-09,4.77788
2016-06-10,4.752
2016-06-11,4.88234
2016-06-12,5.0673
2016-06-13,5.41465
2016-06-14,5.30518
2016-06-15,5.2231
2016-06-16,5.25305
2016-06-17,5.67243
2016-06-18,5.60399
2016-06-19,5.56037
2016-06-20,5.62519
2016-06-21,5.27355
2016-06-22,4.82753
2016-06-23,3.91814
2016-06-24,3.85183
2016-06-25,4.2746
2016-06-26,4.24301
2016-06-27,4.05153
2016-06-28,4.13775
2016-06-29,4.10169
2016-06-30,4.07738
2016-07-01,4.19349
2016-07-02,4.27777
2016-07-03,4.66093
2016-07-04,4.27269
2016-07-05,4.55779
2016-07-06,4.46446
2016-07-07,4.49656
2016-07-08,4.11567
2016-07-09,4.23739
2016-07-10,4.12157
2016-07-11,4.12118
2016-07-12,4.09219
2016-07-13,4.16283
2016-07-14,4.14098
2016-07-15,4.15446
2016-07-16,4.15271
2016-07-17,4.13772
2016-07-18,4.19939
2016-07-19,4.15275
2016-07-20,4.14999
2016-07-21,4.13319
2016-07-22,4.12578
2016-07-23,4.0426
2016-07-24,4.06375
2016-07-25,4.07262
2016-07-26,4.03719
2016-07-27,3.96491
2016-07-28,3.96576
2016-07-29,3.97479
2016-07-30,4.08266
2016-07-31,4.07958
2016-08-01,4.06291
2016-08-02,3.87169
2016-08-03,3.63943
2016-08-04,3.71197
2016-08-05,3.74201
2016-08-06,3.72116
2016-08-07,3.75868
2016-08-08,3.77451
2016-08-09,3.78284
2016-08-10,3.76176
2016-08-11,3.71741
2016-08-12,3.73846
2016-08-13,3.70867
2016-08-14,3.71571
2016-08-15,3.64829
2016-08-16,3.58503
2016-08-17,3.64511
2016-08-18,3.6028
2016-08-19,3.61098
2016-08-20,3.608
2016-08-21,3.61941
2016-08-22,3.61742
2016-08-23,3.66442
2016-08-24,3.92881
2016-08-25,3.85649
2016-08-26,3.80192
2016-08-27,3.82494
2016-08-28,3.73608
2016-08-29,3.73766
2016-08-30,3.76752
2016-08-31,3.80607
2016-09-01,3.79563
2016-09-02,3.83675
2016-09-03,3.82702
2016-09-04,3.8931
2016-09-05,4.02154
2016-09-06,3.98424
2016-09-07,3.98913
2016-09-08,3.96945
2016-09-09,3.98371
2016-09-10,3.97222
2016-09-11,3.96853
2016-09-12,3.87034
2016-09-13,3.8318
2016-09-14,3.81881
2016-09-15,3.83005
2016-09-16,3.81537
2016-09-17,3.80028
2016-09-18,3.8102
2016-09-19,4.04262
2016-09-20,3.82936
2016-09-21,3.86921
2016-09-22,3.85651
2016-09-23,3.7652
2016-09-24,3.81472
2016-09-25,3.79601
2016-09-26,3.79999
2016-09-27,3.85684
2016-09-28,3.85058
2016-09-29,3.83783
2016-09-30,3.8445
2016-10-01,3.84776
2016-10-02,3.84629
2016-10-03,3.85015
2016-10-04,3.83891
2016-10-05,3.83212
2016-10-06,3.84639
2016-10-07,3.83852
2016-10-08,3.86397
2016-10-09,3.84468
2016-10-10,3.82321
2016-10-11,3.804
2016-10-12,3.82044
2016-10-13,3.74645
2016-10-14,3.91199
2016-10-15,3.90036
2016-10-16,3.88257
2016-10-17,3.89224
2016-10-18,3.95415
2016-10-19,3.84618
2016-10-20,3.80797
2016-10-21,3.79027
2016-10-22,3.80969
2016-10-23,3.89372
2016-10-24,3.9202
2016-10-25,3.87133
2016-10-26,3.91142
2016-10-27,3.96027
2016-10-28,4.03587
2016-10-29,3.97651
2016-10-30,4.09595
2016-10-31,4.03708
2016-11-01,3.9986
2016-11-02,4.09081
2016-11-03,4.11298
2016-11-04,3.85571
2016-11-05,3.87851
2016-11-06,3.86028
2016-11-07,3.88833
2016-11-08,3.83697
2016-11-09,3.84603
2016-11-10,3.85854
2016-11-11,3.83641
2016-11-12,3.81437
2016-11-13,3.76618
2016-11-14,3.87889
2016-11-15,3.88883
2016-11-16,3.90046
2016-11-17,4.05557
2016-11-18,3.95862
2016-11-19,3.97737
2016-11-20,3.96574
2016-11-21,3.93212
2016-11-22,3.9522
2016-11-23,3.96887
2016-11-24,3.93211
2016-11-25,3.91291
2016-11-26,3.92061
2016-11-27,3.90792
2016-11-28,3.89774
2016-11-29,3.89251
2016-11-30,3.88781
2016-12-01,3.90945
2016-12-02,3.91922
2016-12-03,3.9496
2016-12-04,3.93236
2016-12-05,3.88444
2016-12-06,3.48905
2016-12-07,3.54108
2016-12-08,3.60278
2016-12-09,3.69109
2016-12-10,3.69489
2016-12-11,3.68797
2016-12-12,3.64073
2016-12-13,3.6655
2016-12-14,3.65726
2016-12-15,3.61289
2016-12-16,3.62715
2016-12-17,3.62987
2016-12-18,3.70389
2016-12-19,3.67721
2016-12-20,3.65986
2016-12-21,3.66452
2016-12-22,3.66561
2016-12-23,3.71586
2016-12-24,4.64649
2016-12-25,4.55545
2016-12-26,4.34654
2016-12-27,4.36857
2016-12-28,4.48757
2016-12-29,4.57886
2016-12-30,4.56249
2016-12-31,4.39233
2017-01-01,4.32912
2017-01-02,4.52045
2017-01-03,4.65588
